prompt_id,prompt,category,difficulty,expected_reasoning,prompt_length,word_count,estimated_input_tokens,contains_code,contains_math,contains_json,contains_markdown,contains_numbers,contains_question,reasoning_score,technical_complexity,reasoning_depth,task_complexity,constraint_complexity,context_complexity,complexity_score,local_latency_ms,remote_latency_ms,local_cost,remote_cost,local_quality_score,remote_quality_score,label
coding_001,Write a Python function that takes a list of integers and returns the sum of all even numbers.,coding,easy,low,94,18,24,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0551,0.0669,13764,3232,0.0,0.003,0.6052,0.9625,REMOTE
coding_002,Write a SQL query to select all rows from a table named 'employees' where the department is 'Engineering'.,coding,easy,low,106,18,27,1,0,0,0,0,1,2,0.3,0.0,0.25,0.1,0.0596,0.1693,4572,2785,0.0,0.001778,0.4302,0.7278,REMOTE
coding_003,Write a Python function that reverses a string without using the built-in reverse method.,coding,easy,low,89,14,23,1,0,0,0,0,0,1,0.0,0.0,0.33,0.1,0.0535,0.0988,3431,2512,0.0,0.002917,0.5547,0.9786,REMOTE
coding_004,Write a JavaScript function that checks whether a given number is prime.,coding,easy,low,72,12,18,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0453,0.0661,3489,2595,0.0,0.003665,0.5494,0.9727,REMOTE
coding_005,Write a Python function that counts the number of vowels in a given string.,coding,easy,low,75,14,19,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.047,0.0663,3319,2549,0.0,0.002407,0.518,0.9769,REMOTE
coding_006,"Write a SQL query that returns the total number of orders placed by each customer, ordered by order count descending.",coding,easy,low,117,20,30,1,0,0,0,0,0,2,0.3,0.0,0.25,0.1,0.064,0.1696,3418,2710,0.0,0.003245,0.4045,0.9368,REMOTE
coding_007,Write a Python function that returns the factorial of a non-negative integer using a loop.,coding,easy,low,90,15,23,1,1,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0535,0.0668,3168,2566,0.0,0.003407,0.4882,0.9786,REMOTE
coding_008,"Implement a binary search algorithm in Python that works on a sorted list of integers and returns the index of the target, or -1 if not found.",coding,medium,medium,142,27,36,1,0,0,0,1,0,4,0.72,0.0,0.85,0.0,0.0723,0.4343,3515,2780,0.0,0.00491,0.4689,0.975,REMOTE
coding_009,"Write a Python class that implements a stack data structure using a list, with push, pop, peek, and is_empty methods.",coding,medium,medium,117,20,30,1,0,0,0,0,0,3,0.0,0.0,0.85,0.0,0.064,0.3109,3426,2749,0.0,0.006225,0.4661,0.9842,REMOTE
coding_010,"Write a SQL query that finds all customers who placed more than three orders in the last 90 days, returning their name and order count.",coding,medium,medium,135,25,34,1,0,0,0,1,1,2,0.3,0.0,0.25,0.1,0.0696,0.1701,3473,2689,0.0,0.003945,0.4651,0.952,REMOTE
coding_011,Debug the following Python function that is meant to flatten a nested list but raises a RecursionError for deeply nested inputs. Provide a fix using an iterative approach.,coding,medium,medium,171,28,43,1,0,0,0,0,0,3,0.0,0.0,0.72,0.0,0.0813,0.2664,3525,2817,0.0,0.004488,0.3381,0.904,REMOTE
coding_012,Write a Python decorator that measures and prints the execution time of any function it wraps.,coding,medium,medium,94,16,24,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0551,0.0669,3216,2847,0.0,0.00544,0.4998,0.9812,REMOTE
coding_013,"Implement a basic LRU cache in Python with a fixed capacity, supporting get and put operations in O(1) time using an OrderedDict.",coding,medium,medium,129,22,33,1,0,0,0,1,0,4,0.0,0.0,0.97,0.18,0.0683,0.3851,3430,2815,0.0,0.006173,0.3132,0.9714,REMOTE
coding_014,"Write a Python function that accepts a list of dictionaries representing students with 'name' and 'score' fields, and returns the top 3 students sorted by score descending.",coding,medium,medium,172,27,43,1,0,0,0,1,0,1,0.0,0.0,0.35,0.0,0.0813,0.094,3562,2660,0.0,0.003847,0.3785,0.975,REMOTE
coding_015,"Design a Python class that implements a thread-safe producer-consumer queue using threading.Condition, supporting multiple producers and consumers without deadlock.",coding,hard,high,164,19,41,1,0,0,0,0,0,6,0.95,0.0,0.95,0.18,0.1946,0.5597,3447,3395,0.0,0.010253,0.4132,0.9714,REMOTE
coding_016,"Implement Dijkstra's shortest path algorithm in Python for a weighted directed graph represented as an adjacency list, returning the shortest distance from a source node to all other nodes.",coding,hard,high,189,29,48,1,0,0,0,0,0,3,0.9,0.0,0.25,0.0,0.1659,0.3458,3554,3335,0.0,0.0083,0.4967,0.9333,REMOTE
coding_017,"Design a RESTful API schema in Python using FastAPI for a task management system with users, projects, and tasks. Include authentication endpoints, dependency injection, and appropriate HTTP status codes.",coding,hard,high,204,29,51,1,0,0,0,0,0,4,0.0,0.0,1.0,0.2,0.2538,0.4204,3631,4382,0.0,0.022627,0.4461,0.9333,REMOTE
coding_018,"Write a Python function that parses a mathematical expression given as a string (supporting +, -, *, /, and parentheses) and evaluates it correctly without using eval().",coding,hard,high,169,27,43,1,0,0,0,0,0,3,0.0,0.245,0.43,0.1,0.0813,0.2675,3426,3164,0.0,0.007528,0.4289,0.82,REMOTE
coding_019,Design a database schema for a multi-tenant SaaS application where each tenant has isolated data. Write the SQL DDL statements and explain the row-level security approach.,coding,hard,high,171,26,43,1,0,0,0,0,1,5,0.75,0.0,1.0,0.2,0.0813,0.5055,3642,3318,0.0,0.009647,0.3761,0.94,REMOTE
coding_020,"Implement a generic retry mechanism in Python as a context manager that supports configurable max attempts, exponential backoff with jitter, and a list of retryable exception types.",coding,hard,high,181,27,46,1,0,0,0,0,0,3,0.0,0.0,0.85,0.0,0.085,0.3133,3579,5613,0.0,0.008205,0.4389,0.964,REMOTE
coding_021,"Write a Python function to check if a dictionary contains a specific key and return its value, defaulting to None if missing.",coding,easy,low,125,22,32,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0667,0.0678,3225,9828,0.0,0.00345,0.4839,0.8833,LOCAL
coding_022,Write a CSS rule to center a div horizontally and vertically inside a container with a flexbox layout.,coding,easy,low,102,18,26,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0581,0.0671,3349,2969,0.0,0.006005,0.4311,0.98,REMOTE
coding_023,Write a bash command to find and list all files ending with '.log' in a directory that were modified in the last 24 hours.,coding,easy,low,122,24,31,0,0,0,0,1,0,1,0.0,0.0,0.25,0.0,0.0655,0.0677,3393,2733,0.0,0.002628,0.4628,0.9478,REMOTE
coding_024,"Write a SQL query to update the 'status' column of the 'orders' table to 'delivered' for all orders placed before June 1st, 2026.",coding,easy,low,129,23,33,1,0,0,0,1,0,2,0.3,0.0,0.25,0.1,0.0683,0.17,3492,2672,0.0,0.003193,0.4453,0.9036,REMOTE
coding_025,Write a JavaScript function to format a datetime string into a user-friendly format like 'MM/DD/YYYY HH:MM'.,coding,easy,low,108,16,27,1,0,0,0,0,0,1,0.0,0.0,0.25,0.08,0.0591,0.0768,3282,2972,0.0,0.005867,0.4125,0.9824,REMOTE
coding_026,Write a Python script to read a CSV file of contacts and extract all email addresses matching the 'gmail.com' domain.,coding,easy,low,117,20,30,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.064,0.0676,3376,5417,0.0,0.006645,0.4739,0.955,REMOTE
coding_027,"Write a TypeScript interface definition for a User object containing id, username, email, active status, and optional profile fields.",coding,easy,low,133,19,34,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.1919,0.0779,3064,18427,0.0,0.002405,0.5656,0.9333,LOCAL
coding_028,Write a SQL statement to create an index on the 'email' column of the 'users' table to improve lookup performance.,coding,easy,low,114,20,29,1,0,0,0,0,0,2,0.0,0.315,0.25,0.1,0.0626,0.2261,3160,2766,0.0,0.003873,0.4194,0.9833,REMOTE
coding_029,Write a Go function that accepts a slice of strings and returns the string that has the maximum character length.,coding,easy,low,113,20,29,1,0,0,0,0,0,1,0.0,0.0,0.25,0.1,0.0626,0.0795,3108,2775,0.0,0.003573,0.5484,0.9647,REMOTE
coding_030,Write a Python snippet using requests to fetch the JSON body from a public API endpoint and print the status code.,coding,easy,low,114,21,29,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0626,0.0675,3234,2770,0.0,0.005123,0.4771,0.9684,REMOTE
coding_031,Write a JavaScript event listener that changes the background color of a button when the user hovers over it.,coding,easy,low,109,19,28,1,0,0,0,0,1,1,0.0,0.0,0.25,0.0,0.0611,0.0674,3222,2676,0.0,0.00458,0.576,0.9824,REMOTE
coding_032,Write a SQL query to count the number of active subscriptions in the 'users' database grouped by subscription plan.,coding,easy,low,115,19,29,1,0,0,0,0,0,2,0.3,0.0,0.25,0.1,0.0626,0.1695,3233,2626,0.0,0.003063,0.4727,0.9,REMOTE
coding_033,"Write a Dockerfile that sets up a Node.js runtime, copies package.json, runs npm install, and starts the index.js server.",coding,easy,low,121,19,31,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0655,0.0677,3288,2876,0.0,0.005718,0.4271,0.985,REMOTE
coding_034,Write a Python function that takes a list of dictionary items representing store products and filters out any product with a price higher than $50.,coding,easy,low,147,25,37,1,0,0,0,1,0,1,0.0,0.0,0.25,0.0,0.0737,0.0684,3403,2552,0.0,0.003293,0.4985,0.9348,REMOTE
coding_035,"Write an HTML form with input fields for name, email, password, and a submit button, styling it with basic inline CSS.",coding,easy,low,118,21,30,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.064,0.0676,3457,2834,0.0,0.005915,0.5289,0.955,REMOTE
coding_036,"Write a Python function to check if a word is a palindrome, ignoring capitalization and non-alphanumeric characters.",coding,easy,low,116,17,29,1,0,0,0,0,0,1,0.0,0.0,0.25,0.1,0.0626,0.0795,3282,9434,0.0,0.003342,0.5014,0.9812,LOCAL
coding_037,"Write a SQL query to join the 'orders' and 'customers' tables on customer_id, selecting order_id, purchase_date, and customer name.",coding,easy,low,131,19,33,1,0,0,1,0,0,2,0.3,0.0,0.35,0.1,0.0683,0.195,20509,2631,0.0,0.003233,0.0,0.9526,REMOTE
coding_038,Write a shell script to zip up a folder named 'backups' and append the current calendar date to the filename.,coding,easy,low,109,20,28,0,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0611,0.0674,26726,10788,0.0,0.00361,0.0,0.947,REMOTE
coding_039,Write a Python function to merge two sorted lists of numbers into a single new sorted list without calling sort().,coding,easy,low,114,20,29,1,0,0,0,0,0,1,0.0,0.0,0.35,0.0,0.0626,0.0925,21615,3725,0.0,0.003913,0.0,0.95,REMOTE
coding_040,Write a CSS media query that hides a sidebar element when the viewport width is less than 768 pixels.,coding,easy,low,101,19,26,1,0,0,0,1,1,1,0.0,0.0,0.25,0.0,0.0581,0.0671,20356,3330,0.0,0.000815,0.0,0.7228,REMOTE
coding_041,Write a Python decorator that logs the execution time of a function in milliseconds and records it to a global log list.,coding,medium,medium,120,22,30,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.064,0.0676,20348,3437,0.0,0.006565,0.0,0.985,REMOTE
coding_042,"Write a SQL query to find the second highest salary from the 'employees' table, handling edge cases where multiple employees share the top salary.",coding,medium,medium,146,24,37,1,0,0,0,0,1,3,0.3,0.0,0.78,0.1,0.0737,0.3029,20331,3346,0.0,0.004752,0.0,0.9857,REMOTE
coding_043,Write a Node.js express middleware function that validates a JSON Web Token (JWT) in the Authorization header and attaches the decoded payload to the request object.,coding,medium,medium,165,26,42,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.2634,0.0836,20469,3585,0.0,0.005405,0.0,0.9625,REMOTE
coding_044,"Write a Python function implementing binary search on a sorted list, returning the index of the target or -1 if not found. Must contain docstrings.",coding,medium,medium,147,25,37,1,0,0,0,1,0,2,0.36,0.0,0.25,0.12,0.0737,0.1908,20442,3438,0.0,0.004732,0.0,0.9087,REMOTE
coding_045,"Write a React hook 'useLocalStorage' that synchronizes state with local storage, handling serialization and parsing exceptions gracefully.",coding,medium,medium,138,17,35,0,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.071,0.0682,15881,3730,0.0,0.005837,0.3343,0.9118,REMOTE
coding_046,Write a SQL query utilizing window functions to calculate the 7-day rolling average of daily user signups in the 'users' table.,coding,medium,medium,127,21,32,1,0,0,0,1,0,3,0.3,0.0,0.78,0.1,0.0669,0.3024,3386,3488,0.0,0.00569,0.4218,0.9571,REMOTE
coding_047,Write a Go function that implements a worker pool pattern using channels to process a queue of HTTP URLs concurrently with a fixed pool size of 5 workers.,coding,medium,medium,154,28,39,1,0,0,0,1,0,3,0.38,0.0,0.85,0.0,0.0761,0.3326,3488,3272,0.0,0.008918,0.4176,0.9739,REMOTE
coding_048,"Write a Python script that connects to a PostgreSQL database, executes a batch insert of 1000 records using a single transaction, and handles rollbacks on error.",coding,medium,medium,161,26,41,1,0,0,0,1,0,1,0.0,0.0,0.25,0.0,0.1788,0.0768,3333,2953,0.0,0.006862,0.4176,0.9478,REMOTE
coding_049,Write a Terraform configuration block to provision an AWS EC2 instance inside a custom VPC with a public IP and security groups allowing SSH.,coding,medium,medium,141,24,36,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.1723,0.0763,3283,3099,0.0,0.005,0.3488,0.9863,REMOTE
coding_050,"Write a Python function that uses a regular expression to validate a complex password requirements list (min 8 chars, 1 uppercase, 1 lowercase, 1 digit, 1 special char).",coding,medium,medium,169,28,43,1,0,0,0,1,0,1,0.0,0.0,0.25,0.0,0.0813,0.069,3404,2695,0.0,0.004687,0.3393,0.9217,REMOTE
coding_051,Write a SQL query that retrieves all products that have been ordered by customers in New York but have never been ordered by customers in California.,coding,medium,medium,149,26,38,1,0,0,0,0,0,2,0.3,0.0,0.25,0.1,0.0738,0.1704,3226,2962,0.0,0.003955,0.5079,0.9526,REMOTE
coding_052,"Write a script in Python that uses the pandas library to load a dataset, fill missing values with the column mean, and drop columns with more than 50% null values.",coding,medium,medium,163,30,41,1,0,0,0,1,0,1,0.0,0.0,0.35,0.0,0.0788,0.0938,3408,3011,0.0,0.006552,0.3795,0.9884,REMOTE
coding_053,"Write a JavaScript function to deep clone a nested object without using JSON.parse(JSON.stringify(x)), supporting arrays and nested objects.",coding,medium,medium,140,18,35,1,0,0,0,0,0,1,0.0,0.0,0.25,0.1,0.071,0.0802,3222,2980,0.0,0.005167,0.5458,0.9053,REMOTE
coding_054,"Write a Docker Compose file configuring a FastAPI backend service, a React frontend service, and a Redis caching server communicating on a private network.",coding,medium,medium,155,24,39,0,0,0,0,0,0,2,0.36,0.0,0.25,0.0,0.0758,0.1766,3337,3086,0.0,0.005768,0.5034,0.9526,REMOTE
