prompt_id,prompt,category,difficulty,expected_reasoning,domain,constraint_count,estimated_complexity,output_format,prompt_length,word_count,estimated_input_tokens,contains_code,contains_math,contains_json,contains_markdown,contains_numbers,contains_question,reasoning_score,technical_complexity,reasoning_depth,task_complexity,constraint_complexity,context_complexity,complexity_score,constraint_density,requested_format,presence_of_tables,sql_indicators,api_keywords,system_design_keywords,algorithmic_complexity,dependency_between_subtasks,multi_turn_context,code_indicators,math_indicators,local_latency_ms,remote_latency_ms,local_cost,remote_cost,local_quality_score,remote_quality_score,local_llm_quality,remote_llm_quality,local_heuristic_quality,remote_heuristic_quality,local_tokens,remote_tokens,label
gen_000001,Write production-ready code for a clinical operations team that processes a triage protocol involving patient cohort and handles privacy exposure. Format the response as plain paragraphs. Keep the answer under 80 words.,coding,easy,low,healthcare,1,0.345,plain paragraphs,219,32,55,0,0,0,0,1,0,2,0.375,0.0,0.25,0.08,0.1712,0.1983,0.0,text,0,0,0,0,0,0,0,0,0,176,285,0.0,0.002138,0.6566,0.8839,0.0,0.0,0.0,0.0,0,0,REMOTE
gen_000002,Design a phased rollout for triage protocol adoption across teams that depend on patient cohort. Format the response as plain paragraphs. Include at least 2 concrete examples. Discuss edge cases and failure modes.,planning,easy,low,healthcare,2,0.39,plain paragraphs,213,33,54,0,0,0,0,1,0,3,0.1875,0.0,1.0,0.08,0.1629,0.3289,0.0,text,0,0,0,0,0,0,0,0,0,269,300,0.0,0.001475,0.6996,0.8004,0.0,0.0,0.0,0.0,0,0,LOCAL
gen_000003,Analyze whether a patient safety committee should prioritize claims feed improvements or direct mitigation of privacy exposure. Format the response as plain paragraphs. Discuss edge cases and failure modes.,reasoning,easy,low,healthcare,1,0.345,plain paragraphs,206,29,52,0,0,0,0,0,0,3,0.1875,0.3024,0.65,0.08,0.092,0.3394,0.0,text,0,0,0,0,0,0,0,0,0,252,392,0.0,0.00213,0.8455,0.8655,0.0,0.0,0.0,0.0,0,0,LOCAL
gen_000004,Translate this operational notice about incorrect dosage guidance into French for stakeholders using claims feed. Format the response as numbered steps. Avoid unexplained jargon. Make assumptions explicit for auditability.,translation,easy,low,healthcare,2,0.39,numbered steps,222,29,56,0,0,0,0,0,0,2,0.1988,0.2625,0.2,0.08,0.0964,0.2224,0.0,text,0,0,0,0,0,0,0,0,0,172,360,0.0,0.00267,0.8607,0.8607,0.0,0.0,0.0,0.0,0,0,LOCAL
gen_000005,"Summarize a detailed clinical note for a clinical operations team, highlighting readmission rate, incorrect dosage guidance, and impact on patient cohort. Format the response as numbered steps. Make assumptions explicit for auditability.",summarization,easy,low,healthcare,1,0.345,numbered steps,237,32,60,0,0,0,0,0,0,2,0.3975,0.0,0.26,0.08,0.1006,0.2019,0.0,text,0,0,0,0,0,0,0,0,0,312,405,0.0,0.00156,0.7709,0.8155,0.0,0.0,0.0,0.0,0,0,LOCAL
gen_000006,"Compose a reflective story in which patient cohort becomes a symbol for changing wait time. Format the response as numbered steps. Compare risks, trade-offs, and mitigations. Return the core result using the requested schema.",creative_writing,easy,low,healthcare,2,0.39,numbered steps,225,34,57,1,0,0,0,0,1,5,0.1875,0.7,0.65,0.28,0.0975,0.4633,0.0,text,0,0,0,0,0,0,0,0,0,344,825,0.0,0.005023,0.85,0.85,0.0,0.0,0.0,0.0,0,0,LOCAL
gen_000007,"Explain how a consent form affects wait time, care delay, and day-to-day decisions for a patient safety committee. Format the response as bullet list. Return the core result using the requested schema.",general,easy,medium,healthcare,1,0.415,bullet list,201,32,51,1,0,0,0,0,1,2,0.1875,0.0,0.48,0.28,0.0908,0.2171,0.0,text,0,0,0,0,0,0,0,0,0,170,280,0.0,0.001928,0.85,0.89,0.0,0.0,0.0,0.0,0,0,LOCAL
gen_000008,Compute the break-even threshold for a consent form when care delay adds a variable cost to each nurse queue. Format the response as bullet list. Mark any facts that would need external verification. Use accessible language for a mixed-expertise audience.,mathematics,easy,medium,healthcare,2,0.46,bullet list,255,40,64,0,0,0,0,0,1,3,0.0,0.0,0.78,0.08,0.1047,0.3043,0.0,text,0,0,0,0,0,0,0,0,0,138,482,0.0,0.00211,0.8342,0.8342,0.0,0.0,0.0,0.0,0,0,LOCAL
gen_000009,Write production-ready code for a clinical operations team that processes a appointment workflow involving nurse queue and handles care delay. Include a realistic constraint and one exception case. Format the response as bullet list. Use accessible language for a mixed-expertise audience. Address security and privacy implications.,coding,medium,medium,healthcare,2,0.76,bullet list,332,46,83,0,0,0,0,0,0,2,0.1875,0.0,0.35,0.08,0.1225,0.1631,0.0,text,0,0,0,0,0,0,0,0,0,156,453,0.0,0.001847,0.8286,0.8286,0.0,0.0,0.0,0.0,0,0,LOCAL
gen_000010,"Design a phased rollout for appointment workflow adoption across teams that depend on nurse queue. Include a realistic constraint and one exception case. Format the response as markdown table. Address security and privacy implications. Optimize for low-latency operational use. Maintain a professional, neutral tone.",planning,medium,medium,healthcare,3,0.805,markdown table,316,44,79,0,0,0,0,0,0,5,0.0,0.2975,1.0,0.18,0.119,0.5229,0.0,text,0,0,0,0,0,0,0,0,0,359,823,0.0,0.004087,0.839,0.839,0.0,0.0,0.0,0.0,0,0,LOCAL
