prompt_id,prompt,category,difficulty,expected_reasoning,domain,constraint_count,estimated_complexity,output_format,source,augmentation_band,prompt_length,word_count,estimated_input_tokens,contains_code,contains_math,contains_json,contains_markdown,contains_numbers,contains_question,reasoning_score,technical_complexity,reasoning_depth,task_complexity,constraint_complexity,context_complexity,complexity_score,constraint_density,requested_format,presence_of_tables,sql_indicators,api_keywords,system_design_keywords,algorithmic_complexity,dependency_between_subtasks,multi_turn_context,code_indicators,math_indicators,routing_score,routing_confidence,local_latency_ms,remote_latency_ms,local_cost,remote_cost,local_quality_score,remote_quality_score,local_llm_quality,remote_llm_quality,local_heuristic_quality,remote_heuristic_quality,local_tokens,remote_tokens,label
imported_445-2,"Give me a brief overview of Supernatural Horror, especially Supernatural Horror.",summarization,easy,low,horror_non_erotic,0,0.1039,text,10k_chatbot_prompts,under_100,80,11,20,0,0,0,0,0,0,1,0.0,0.0,0.4,0.0,0.0485,0.1039,0.0,text,0,0,0,0,0,0,0,0,0,8,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LOCAL
imported_116-6,"Create a phased implementation plan for an organization adopting Usage Analytics and Insights. Compare options involving usage analytics, product-led growth, user insights, data analysis, Google Analytics, identify dependencies, risks, owners, measurable milestones, and rollback criteria.",planning,medium,medium,product_led_growth,0,0.4588,text,10k_chatbot_prompts,under_100,289,35,73,0,0,0,0,0,0,5,0.0,0.245,0.98,0.0,0.1868,0.4588,0.0,text,0,0,0,0,0,0,0,0,0,35,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
gen_000717,"Summarize a detailed field observation for a lab scientist, highlighting sample purity, model uncertainty, and impact on chemical compound. Include interacting constraints, uncertainty, and second-order effects. Format the response as annotated code block. Use enough detail to support a robust answer, including context, assumptions, and acceptance criteria. Include at least 1 concrete examples. Discuss edge cases and failure modes. Avoid unexplained jargon. Make assumptions explicit for auditability.",summarization,easy,medium,science,0,0.289,code,existing_project,under_100,505,67,127,0,0,0,0,1,0,3,0.2647,0.245,0.36,0.08,0.15,0.289,0.015151515151515152,code,0,0,1,0,0,1,0,0,0,25,Low,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
gen_004305,"Write production-ready code for a lab scientist that processes a simulation result involving chemical compound and handles model uncertainty. Include a realistic constraint and one exception case. Format the response as JSON object. Provide enough context for a precise answer without requiring external documents. Return the core result using the requested schema. Mark any facts that would need external verification. Context: I am preparing material about science for a real project. The audience includes people with different levels of experience, so the response needs to be precise without assuming unstated background. For production-ready, describe the underlying mechanism and assumptions. Relate it to scientist, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For scientist, describe the realistic example and edge cases. Relate it to processes, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For processes, describe the alternatives and decision criteria. Relate it to simulation, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For simulation, describe the risks, limitations, and failure modes. Relate it to result, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For result, describe the implementation sequence and dependencies. Relate it to involving, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For involving, describe the testing or evidence needed to validate the result. Relate it to chemical, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For chemical, describe the operational impact and maintenance concerns. Relate it to compound, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For compound, describe the terminology that must remain consistent. Relate it to handles, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For handles, describe the trade-offs involving cost, quality, time, and reliability. Relate it to uncertainty, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For uncertainty, describe the questions a reviewer should ask. Relate it to realistic, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For realistic, describe the underlying mechanism and assumptions. Relate it to constraint, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For constraint, describe the realistic example and edge cases. Relate it to production-ready, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For production-ready, describe the alternatives and decision criteria. Relate it to scientist, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For scientist, describe the risks, limitations, and failure modes. Relate it to processes, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For processes, describe the implementation sequence and dependencies. Relate it to simulation, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For simulation, describe the testing or evidence needed to validate the result. Relate it to result, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For result, describe the operational impact and maintenance concerns. Relate it to involving, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For involving, describe the terminology that must remain consistent. Relate it to chemical, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For chemical, describe the trade-offs involving cost, quality, time, and reliability. Relate it to compound, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For compound, describe the questions a reviewer should ask. Relate it to handles, show representative.",coding,medium,high,science,0,0.7058,json,existing_project,500-1000,6328,813,1582,1,0,0,0,0,1,7,0.7168,0.7,0.5,0.62,0.1419,0.7058,0.00984009840098401,json,0,1,1,0,0,0,0,1,0,79,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
gen_004480,"Compute the break-even threshold for a labeling guideline when bias amplification adds a variable cost to each drift monitor. Include a realistic constraint and one exception case. Format the response as markdown table. Use enough detail to support a robust answer, including context, assumptions, and acceptance criteria. Maintain a professional, neutral tone. Keep the answer under 250 words. Include at least 4 concrete examples. Discuss edge cases and failure modes.",reasoning,medium,medium,machine_learning,0,0.4271,table,existing_project,under_100,470,70,118,0,0,0,0,1,1,4,0.312,0.2625,0.78,0.18,0.1493,0.4271,0.04411764705882353,table,0,1,1,0,0,0,0,0,1,36,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
imported_742-4,"Create a phased implementation plan for an organization adopting Painted Rocks. Compare options involving painted rocks, kids crafts, rock painting, art projects for kids, creative activities, identify dependencies, risks, owners, measurable milestones, and rollback criteria. Context: I am preparing material about Painted Rocks for a real project. The audience includes people with different levels of experience, so the response needs to be precise without assuming unstated background. Background notes: As an expert in this area, you provide practical, creative, and fun ideas for families and educators who wish to engage children in this artistic activity. Your knowledge encompasses various painting techniques, materials, and safety considerations specifically tailored for children. When handling common questions, such as how to choose the right rocks or the best paints for outdoor durability, you will provide clear, actionable advice while ensuring safety and age-appropriateness. In edge cases, like dealing with paint that won't adhere or rocks that break during painting, you will suggest troubleshooting tips and alternative approaches. Address painted rocks through the lens of underlying mechanism and assumptions. Connect it to kids crafts, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address kids crafts through the lens of realistic example and edge cases. Connect it to rock painting, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address rock painting through the lens of alternatives and decision criteria. Connect it to art projects for kids, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address art projects for kids through the lens of risks, limitations, and failure modes. Connect it to creative activities, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address creative activities through the lens of implementation sequence and dependencies. Connect it to family crafts, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address family crafts through the lens of testing or evidence needed to validate the result. Connect it to DIY painted rocks, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address DIY painted rocks through the lens of operational impact and maintenance concerns. Connect it to outdoor crafts, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address outdoor crafts through the lens of terminology that must remain consistent. Connect it to safety in crafting, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address safety in crafting through the lens of trade-offs involving cost, quality, time, and reliability. Connect it to painting techniques, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address painting techniques through the lens of questions a reviewer should ask. Connect it to craft supplies, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address craft supplies through the lens of underlying mechanism and assumptions. Connect it to educational activities, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address educational activities through the lens of realistic example and edge cases. Connect it to painted rocks, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address painted rocks through the lens of alternatives and decision criteria. Connect it to kids crafts, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address kids crafts through the lens of risks, limitations, and failure modes. Connect it to rock painting, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address rock painting through the lens of implementation sequence and dependencies. Connect it to art projects for kids, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address art projects for kids through the lens of testing or evidence.",planning,medium,high,kids_crafts,0,0.6709,text,10k_chatbot_prompts,500-1000,5317,754,1330,0,0,0,0,0,1,7,0.2647,0.7,1.0,0.12,0.1552,0.6709,0.0026490066225165563,text,0,0,1,0,0,0,0,0,0,66,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
imported_929-10,"Can you make a short, practical checklist for learning Upselling and Cross-Selling Services? Focus on upselling, cross-selling, freelance strategies, Upwork, client engagement.",planning,easy,low,upwork_strategies,0,0.0691,text,10k_chatbot_prompts,under_100,176,22,44,0,0,0,0,0,1,1,0.0,0.0,0.25,0.0,0.0826,0.0691,0.0,text,0,0,0,0,0,0,0,0,0,9,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LOCAL
gen_003766,"Compose a reflective story in which validation split becomes a symbol for changing F1 score. Include interacting constraints, uncertainty, and second-order effects. Format the response as YAML block. Keep the request concise but technically dense. Use accessible language for a mixed-expertise audience. Address security and privacy implications. Optimize for low-latency operational use. Maintain a professional, neutral tone.",creative_writing,medium,medium,machine_learning,0,0.5502,yaml,existing_project,under_100,427,57,107,0,0,0,0,0,1,6,0.6671,0.2929,0.8,0.18,0.1415,0.5502,0.017543859649122806,yaml,0,0,1,0,0,1,0,0,0,46,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
imported_205-7,"Analyze Intuitionistic Logic by comparing intuitionistic logic, constructivism, proof theory, law of excluded middle, Brouwer-Heyting-Kolmogorov. State assumptions, derive the important relationships step by step, test edge cases, and explain when each approach fails.",reasoning,easy,medium,logic,0,0.3423,text,10k_chatbot_prompts,under_100,268,33,67,0,0,0,0,0,1,3,0.0,0.2741,0.65,0.0,0.1077,0.3423,0.0,text,0,0,0,0,0,0,0,0,0,19,Low,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LOCAL
imported_856-5,"Can you make a short, practical checklist for learning Planetary Interiors? Focus on planetary interiors, geophysics, planetary science, seismic studies, thermal evolution.",planning,easy,low,planetary_science,0,0.069,text,10k_chatbot_prompts,under_100,172,22,43,0,0,0,0,0,1,1,0.0,0.0,0.25,0.0,0.0813,0.069,0.0,text,0,0,0,0,0,0,0,0,0,9,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LOCAL
